method,run_id,total_requests,cache_hit_ratio,semantic_hit_ratio,exact_hits,semantic_hits,prompt_hits,cache_misses,total_tokens_consumed,total_tokens_saved,token_reduction_pct,avg_latency_ms,median_latency_ms,p95_latency_ms,throughput_rps,total_inference_cost,total_baseline_cost,cost_reduction_pct,cache_efficiency_index,roi,context_efficiency,retrieval_efficiency,cache_entries,memory_consumption
Baseline-B (LFU),17,100000,0.36641,0.0,36641,0,0,63359,128202950,64613236,33.51027594747673,222.16642300033223,350.3,350.3,4.501130218037065,1166.9347372000423,1341.2852200000711,12.998762694188162,236.74935802759998,10.623365520001926,0.2940855315831337,0.36641,1500,1.0
Baseline-B (LFU),18,100000,0.36568,0.0,36568,0,0,63432,128143854,64672332,33.54092482671553,222.42170400033496,350.3,350.3,4.495964116876355,1166.8010380000371,1341.2852200000568,13.008730685932132,236.49378365759998,10.632278800001313,0.2942753531428305,0.36568,1500,1.0
Baseline-B (LFU),19,100000,0.36679,0.0,36679,0,0,63321,128416454,64399732,33.39954665424199,222.03353700033153,350.3,350.3,4.503824122742804,1167.4924271000443,1341.2852200000814,12.957183923940244,236.21177700279998,10.586186193335804,0.2933988862067229,0.36679,1500,1.0
Baseline-B (LFU),20,100000,0.36648,0.0,36648,0,0,63352,128192372,64623814,33.515762001432805,222.14194400033355,350.3,350.3,4.501626221469001,1166.933665600045,1341.2852200000702,12.998842587709722,236.8333535472,10.623436960001678,0.29411951655412616,0.36648,1500,1.0
Baseline-B (LFU),21,100000,0.36592,0.0,36592,0,0,63408,128387054,64429132,33.41479433681984,222.33777600033432,350.3,350.3,4.49766125212342,1167.3792365000265,1341.2852200000643,12.965622889666184,235.75907981440002,10.593732233335853,0.29349351817688424,0.36592,1500,1.0
Baseline-B (LFU),22,100000,0.36491,0.0,36491,0,0,63509,128569593,64246593,33.32012438001444,222.69097300033653,350.3,350.3,4.490527777246224,1167.9638190000562,1341.285220000081,12.9220391319912,234.44224251629998,10.554760066668313,0.2929055560861822,0.36491,1500,1.0
Baseline-B (LFU),23,100000,0.36584,0.0,36584,0,0,63416,128400329,64415857,33.40790954137014,222.3657520003341,350.3,350.3,4.497095398029178,1167.4134365000352,1341.2852200000525,12.963073096414979,235.65897124880001,10.591452233334484,0.2934507920842858,0.36584,1500,1.0
Baseline-B (LFU),24,100000,0.36698,0.0,36698,0,0,63302,128454370,64361816,33.37988233000315,221.96709400033663,350.3,350.3,4.505172284674247,1167.585812100021,1341.2852200000525,12.950221571816373,236.1949923568,10.579960526668765,0.2932768057177047,0.36698,1500,1.0
Baseline-B (LFU),25,100000,0.36598,0.0,36598,0,0,63402,128128153,64688033,33.549067815292226,222.3167940003353,350.3,350.3,4.4980857361522215,1166.7157926000314,1341.2852200000827,13.015086187264528,236.7452631734,10.637961826670091,0.29432576897504586,0.36598,1500,1.0
Baseline-B (LFU),26,100000,0.36568,0.0,36568,0,0,63432,128142115,64674071,33.541826721953726,222.42170400033658,350.3,350.3,4.495964116876323,1166.7791063000573,1341.2852200000755,13.010365811680858,236.5001428328,10.633740913334547,0.29428093741785155,0.36568,1500,1.0
